timestamp,drawn_number,black,red,white,total_bet_black,total_bet_black_robot,total_bet_red,total_bet_red_robot,total_bet_white,total_bet_white_robot,total,total_paid,profit,profit_%
1,10,1,0,0,14330,1433,15213,"1521,3",12388,"2477,6","44885,3",25794,"19091,3","0,4253352434"
2,7,0,1,0,35583,"3558,3",28982,"2898,2",37345,7469,"108366,5","52167,6","56198,9","0,5186003054"
3,8,1,0,0,38909,"3890,9",38698,"3869,8",27975,5595,"113342,7","70036,2","43306,5","0,3820845983"
4,9,1,0,0,32515,"3251,5",18245,"1824,5",41201,"8240,2",97037,58527,38510,"0,3968589301"
5,0,0,0,1,44495,"4449,5",43883,"4388,3",49447,"9889,4","146662,8","553806,4","-407143,6","-2,776052278"
6,6,0,1,0,38153,"3815,3",33589,"3358,9",43877,"8775,4","122793,2","60460,2",62333,"0,5076258294"
7,7,0,1,0,31222,"3122,2",49413,"4941,3",26128,"5225,6","114826,5","88943,4","25883,1","0,2254105106"
8,4,0,1,0,19884,"1988,4",36386,"3638,6",11642,"2328,4",73539,"65494,8","8044,2","0,109386856"
9,12,1,0,0,25420,2542,34449,"3444,9",19274,"3854,8","85129,9",45756,"39373,9","0,4625155204"
10,11,1,0,0,41014,"4101,4",39735,"3973,5",35230,7046,"124053,9","73825,2","50228,7","0,4048941629"
11,10,1,0,0,30353,"3035,3",45282,"4528,2",22017,"4403,4","105215,5","54635,4","50580,1","0,4807285999"
12,3,0,1,0,12930,1293,21700,2170,27240,5448,65333,39060,26273,"0,4021398068"
13,12,1,0,0,19620,1962,45589,"4558,9",24413,"4882,6","96142,9",35316,"60826,9","0,6326717834"
14,10,1,0,0,12698,"1269,8",32167,"3216,7",45022,"9004,4","94373,5","22856,4","71517,1","0,7578091307"
15,8,1,0,0,12496,"1249,6",42082,"4208,2",19372,"3874,4","79407,8","22492,8",56915,"0,7167431915"
16,1,0,1,0,48326,"4832,6",39570,3957,27449,"5489,8","124134,6",71226,"52908,6","0,4262196036"
17,7,0,1,0,33690,3369,47038,"4703,8",37220,7444,"126020,8","84668,4","41352,4","0,3281394817"
